wavelength (nm),fluorescence (arb. units)
982.643,77.505
982.801,80.88
982.96,82.035
983.119,81.225
983.278,78.525
983.436,79.8
983.595,78.165
983.754,78.72
983.912,71.565
984.071,73.755
984.23,76.275
984.388,74.64
984.547,74.595
984.706,75.375
984.865,70.905
985.023,82.2
985.182,76.545
985.341,74.43
985.499,78.84
985.658,74.475
985.817,72.315
985.975,75.81
986.134,76.23
986.293,71.04
986.451,72.54
986.61,70.485
986.769,72.975
986.927,70.605
987.086,71.7
987.245,71.055
987.403,71.595
987.562,72.36
987.721,70.245
987.879,74.13
988.038,65.61
988.197,69.795
988.355,65.52
988.514,69.57
988.672,62.145
988.831,67.35
988.99,64.635
989.148,67.08
989.307,65.775
989.466,67.14
989.624,67.38
989.783,67.89
989.941,66.36
990.1,63.18
990.259,64.86
990.417,61.29
990.576,63.435
990.735,63.78
990.893,66.48
991.052,63.555
991.21,67.725
991.369,67.485
991.528,60.315
991.686,62.565
991.845,65.325
992.003,62.13
992.162,63.6
992.32,63.345
992.479,63.345
992.638,63.495
992.796,62.25
992.955,58.125
993.113,60.42
993.272,64.815
993.43,60.24
993.589,57.345
993.748,60.285
993.906,61.65
994.065,60.135
994.223,64.86
994.382,58.725
994.54,60.03
994.699,58.515
994.857,58.92
995.016,56.79
995.175,62.895
995.333,56.805
995.492,59.97
995.65,60.57
995.809,60.225
995.967,57.705
996.126,60.465
996.284,55.62
996.443,58.62
996.601,53.4
996.76,54.795
996.918,56.67
997.077,57.15
997.235,56.97
997.394,57.51
997.552,55.635
997.711,59.475
997.869,59.025
998.028,56.145
998.186,56.145
998.345,57.735
998.503,57.855
998.662,54.12
998.82,57.36
998.979,52.245
999.137,56.76
999.296,56.445
999.454,55.17
999.613,54.75
999.771,48.195
999.93,50.16
1000.088,50.91
1000.246,53.805
1000.405,53.82
1000.563,49.89
1000.722,56.685
1000.88,51.93
1001.039,49.29
1001.197,50.04
1001.356,49.98
